DATE,GENDER,GRADE,REGION
30,Male,10.0,Tashkent region
30,Male,10.0,Namangan
30,Male,11.0,Jizzakh
30,Female,Freshman,Khorazm
30,Male,9.0,Sirdarya
30,Female,Sophomore,Tashkent city
30,Female,Sophomore,Khorazm
30,Male,11.0,Tashkent city
30,Female,9.0,Andijan
30,Female,9.0,Karakalpakistan
30,Female,9.0,Tashkent region
30,Male,11.0,Jizzakh
30,Male,11.0,Andijan
30,Male,10.0,Tashkent region
30,Male,9.0,Sirdarya
30,Female,10.0,Bukhara
30,Female,10.0,Andijan
30,Female,11.0,Khorazm
30,Female,9.0,Sirdarya
30,Female,9.0,Tashkent region
30,Female,10.0,Fergana
30,Male,11.0,Andijan
30,Male,11.0,Khorazm
30,Male,10.0,Tashkent city
30,Female,11.0,Tashkent city
30,Female,9.0,Fergana
2,Female,9.0,Samarkand
30,Male,10.0,Kashkadarya
30,Male,11.0,Kashkadarya
30,Female,10.0,Tashkent city
30,Female,9.0,Sirdarya
30,Female,9.0,Tashkent city
30,Female,10.0,Khorazm
30,Male,9.0,Sirdarya
30,Female,Junior,Khorazm
30,Male,Freshman,Kashkadarya
30,Female,Freshman,Tashkent city
30,Female,9.0,Sirdarya
30,Male,11.0,Tashkent region
30,Male,11.0,Samarkand
30,Female,10.0,Tashkent region
30,Female,9.0,Fergana
30,Female,9.0,Bukhara
30,Female,10.0,Karakalpakistan
30,Female,10.0,Navoi
30,Male,9.0,Tashkent region
30,Male,Freshman,Tashkent city
30,Female,10.0,Fergana
30,Male,10.0,Tashkent city
30,Male,10.0,Samarkand
30,Female,9.0,Kashkadarya
30,Male,11.0,Kashkadarya
30,Male,10.0,Tashkent region
30,Female,Senior,Jizzakh
30,Male,10.0,Kashkadarya
30,Female,Junior,Tashkent city
30,Female,10.0,Fergana
30,Female,11.0,Tashkent city
30,Female,11.0,Kashkadarya
30,Female,9.0,Karakalpakistan
30,Male,9.0,Bukhara
30,Male,Junior,Tashkent city
30,Male,10.0,Fergana
30,Female,10.0,Bukhara
30,Male,10.0,Khorazm
30,Female,11.0,Andijan
30,Female,Junior,Tashkent region
30,Female,10.0,Namangan
30,Male,10.0,Tashkent city
30,Female,10.0,Karakalpakistan
30,Female,Senior,Navoi
30,Female,9.0,Kashkadarya
30,Female,Sophomore,Navoi
30,Female,9.0,Fergana
30,Male,11.0,Tashkent region
30,Female,10.0,Samarkand
